DateTime,temperature_C,pressure_hPa,wind_speed_m/s,wind_direction
1987-01-01,,,,
1987-01-02,,,,
1987-01-03,,,,
1987-01-04,,,,
1987-01-05,,,,
1987-01-06,,,,
1987-01-07,,,,
1987-01-08,,,,
1987-01-09,,,,
1987-01-10,,,,
1987-01-11,,,,
1987-01-12,,,,
1987-01-13,,,,
1987-01-14,,,,
1987-01-15,,,,
1987-01-16,,,,
1987-01-17,,,,
1987-01-18,,,,
1987-01-19,,,,
1987-01-20,,,,
1987-01-21,,,,
1987-01-22,,,,
1987-01-23,,,,
1987-01-24,,,,
1987-01-25,,,,
1987-01-26,,,,
1987-01-27,,,,
1987-01-28,,,,
1987-01-29,,,,
1987-01-30,,,,
1987-01-31,,,,
1987-02-01,-1.86,982.3833333333333,3.75,305.0
1987-02-02,-2.8666666666666667,985.3625,2.2857142857142856,283.6341838613642
1987-02-03,-3.1333333333333333,987.875,2.2857142857142856,284.21721709911844
1987-02-04,-3.5500000000000003,988.325,9.0,271.22186457651725
1987-02-05,-4.05,989.4142857142857,2.0,287.4608506639131
1987-02-06,-4.58,985.4142857142857,1.8,348.2227156733703
1987-02-07,-5.471428571428571,986.5,3.7142857142857144,249.60675062913322
1987-02-08,-6.016666666666667,988.5833333333334,2.6666666666666665,16.182315706208772
1987-02-09,-6.8,981.842857142857,1.6666666666666667,332.1064964335953
1987-02-10,-7.016666666666667,972.4,3.1666666666666665,26.751287676388777
1987-02-11,-7.12,975.6999999999999,1.5,336.58167852247726
1987-02-12,-6.5249999999999995,971.2375,5.0,305.10945227789233
1987-02-13,-7.45,974.25,3.6666666666666665,268.7266775768441
1987-02-14,-5.216666666666667,972.8,2.6666666666666665,280.7416217549603
1987-02-15,-3.975,968.32,1.5,288.0087227152474
1987-02-16,-5.7,961.3714285714286,2.3333333333333335,295.7354183179706
1987-02-17,-5.3428571428571425,954.4625,3.0,45.291454668505786
1987-02-18,-6.833333333333333,961.4714285714286,4.25,69.32434809439377
1987-02-19,-7.333333333333333,968.4333333333334,2.2,247.92919657629218
1987-02-20,-7.8999999999999995,970.1999999999999,2.5,315.0
1987-02-21,-8.1,971.5,2.7142857142857144,357.07080342370784
1987-02-22,-8.175,962.9499999999999,1.8,253.7877878515833
1987-02-23,-9.2875,969.2625,9.0,37.09148571494847
1987-02-24,-8.225,975.78,2.0,288.87611080778134
1987-02-25,-7.266666666666667,969.2875,4.0,277.40564349210536
1987-02-26,-9.22,967.2833333333333,5.5,282.44686571870557
1987-02-27,-9.833333333333334,966.0428571428572,2.8,264.19497863272744
1987-02-28,-10.014285714285714,968.0124999999999,7.333333333333333,259.3498381976846
1987-03-01,-8.987499999999999,968.05,10.0,259.6886790991625
1987-03-02,-9.7,965.8875,3.0,317.97359025703554
1987-03-03,-10.2375,956.4,1.6,31.217034872001875
1987-03-04,-13.7125,960.1875,6.25,345.55853605741214
1987-03-05,-14.125,964.7375,2.25,347.6017673779057
1987-03-06,-12.175,962.575,1.1428571428571428,271.41514686300593
1987-03-07,-12.525,964.3125,1.75,292.2844681827713
1987-03-08,-12.625,968.5125,3.0,294.3117217859982
1987-03-09,-12.8375,973.7625,3.857142857142857,292.1636315264252
1987-03-10,-14.15,970.15,1.3333333333333333,336.3954652210612
1987-03-11,-13.725,966.7875,2.5,55.848072111879155
1987-03-12,-14.0125,965.8375,3.142857142857143,312.96972815128976
1987-03-13,-14.0125,966.625,2.5,52.836368473574765
1987-03-14,-12.4875,966.7875,2.5,287.78869813668916
1987-03-15,-13.3,976.0125,1.7142857142857142,6.957021603456397
1987-03-16,-12.55,980.3875,2.5,303.11644162725304
1987-03-17,-15.9875,976.35,2.5,308.6434784785748
1987-03-18,-16.2875,967.6875,2.4285714285714284,312.08615995636774
1987-03-19,-14.662500000000001,962.225,5.0,262.19346761755713
1987-03-20,-20.55,975.75,5.0,40.88848771749904
1987-03-21,-19.325,982.3375000000001,1.3333333333333333,271.1203648876371
1987-03-22,-17.533333333333335,982.0,2.0,350.0
1987-03-23,-19.533333333333335,974.2833333333333,2.25,57.54335846165483
1987-03-24,-21.271428571428572,982.7714285714285,1.8,34.94101877451132
1987-03-25,-23.583333333333332,987.8000000000001,2.3333333333333335,246.26210693106208
1987-03-26,-21.075,981.0125,2.25,303.65708869335214
1987-03-27,-20.0375,981.7125,1.5,328.01694665403136
1987-03-28,-19.7375,988.9125,2.2,352.70981195788397
1987-03-29,-16.6125,978.5625,1.5,8.642634888148134
1987-03-30,-11.92,967.28,6.0,5.1743928041926575
1987-03-31,-15.457142857142857,988.1125,2.5,311.6734939117985
1987-04-01,-9.15,980.0125,1.4285714285714286,268.83511987299045
1987-04-02,-11.3875,976.0625,2.5,260.3286382532327
1987-04-03,-15.075,983.2,3.5,356.28796575840425
1987-04-04,-18.4625,978.3375,1.5714285714285714,323.10998815739106
1987-04-05,-19.8125,980.5875,4.25,280.0
1987-04-06,-20.575,982.8625,3.0,346.43476785895615
1987-04-07,-21.1875,981.6625,1.75,22.626340872961304
1987-04-08,-23.5875,982.175,1.5714285714285714,0.3048201319898343
1987-04-09,-24.875,979.625,1.8,6.876803558679616
1987-04-10,-23.175,976.875,1.6666666666666667,343.89902712378506
1987-04-11,-19.575,970.625,1.6666666666666667,0.11163191021188712
1987-04-12,-19.35,967.425,2.0,21.894795196346138
1987-04-13,-15.3375,967.725,1.6666666666666667,342.92295521252447
1987-04-14,-16.25,963.7375,3.5,279.7010803013538
1987-04-15,-18.9,971.5875,3.125,282.5658209998108
1987-04-16,-21.3125,974.175,2.2,23.66495869056665
1987-04-17,-21.9375,971.1,1.8333333333333333,309.1650782851457
1987-04-18,-24.7,968.9875,1.8,304.6782974598175
1987-04-19,-26.1875,974.6875,2.0,44.65103589786358
1987-04-20,-29.0625,973.1,1.0,337.4900840230017
1987-04-21,-25.62857142857143,965.8625,1.0,345.926234586506
1987-04-22,-21.7625,969.3875,2.2857142857142856,318.6106400911069
1987-04-23,-18.5375,975.9375,14.25,257.94641442730676
1987-04-24,-18.8125,978.4,28.0,26.636272588376997
1987-04-25,-20.725,970.0875,1.0,330.3217025401825
1987-04-26,-24.6875,982.75,2.7142857142857144,35.977932775283165
1987-04-27,-23.9875,984.9375,1.0,13.329563055302321
1987-04-28,-23.9375,981.3125,1.8571428571428572,334.4050313795791
1987-04-29,-27.15,978.7875,1.3333333333333333,271.6124965866234
1987-04-30,-25.6,972.175,1.8333333333333333,314.4956316415258
1987-05-01,-23.9125,978.6625,3.3333333333333335,295.37938424935
1987-05-02,-25.0,982.525,1.4,287.7297169112005
