DateTime,temperature_C,pressure_hPa,wind_speed_m/s,wind_direction
1990-01-01,,,,
1990-01-02,,,,
1990-01-03,,,,
1990-01-04,,,,
1990-01-05,,,,
1990-01-06,,,,
1990-01-07,,,,
1990-01-08,,,,
1990-01-09,,,,
1990-01-10,,,,
1990-01-11,,,,
1990-01-12,,,,
1990-01-13,,,,
1990-01-14,,,,
1990-01-15,,,,
1990-01-16,,,,
1990-01-17,,,,
1990-01-18,,,,
1990-01-19,,,,
1990-01-20,,,,
1990-01-21,,,,
1990-01-22,-5.2,986.8799999999999,10.6,177.9926550205025
1990-01-23,-3.55,985.575,9.0,167.53382329262314
1990-01-24,-3.4375,985.6625,6.2,157.47578613787584
1990-01-25,-3.4875,984.25,11.0,198.47264162464646
1990-01-26,-7.4875,973.3375,7.0,179.62417187496655
1990-01-27,-5.3625,963.2,3.6,246.91751116596504
1990-01-28,-3.3625,970.3625,5.5,263.94675178320233
1990-01-29,-2.8625,978.4375,4.5,252.0503753775539
1990-01-30,-3.375,970.0,,233.94675178320233
1990-01-31,-3.8857142857142857,959.6875,5.5,158.74740084947723
1990-02-01,-5.7125,964.2875,20.0,
1990-02-02,-7.75,967.8875,18.8,176.00244393710275
1990-02-03,-8.0375,972.1875,13.333333333333334,166.636272588377
1990-02-04,-7.3,972.6625,8.4,183.76134364673754
1990-02-05,-6.7250000000000005,970.0,16.666666666666668,177.9926550205025
1990-02-06,-4.3,967.9375,3.3333333333333335,243.363727411623
1990-02-07,-5.237500000000001,961.2,2.5,190.67806364282467
1990-02-08,-8.475,960.4,19.0,187.51437930669925
1990-02-09,-7.112500000000001,964.5,7.333333333333333,180.7367500795899
1990-02-10,-8.1125,965.6375,8.0,191.41853960142268
1990-02-11,-8.8875,968.25,25.6,173.751829216134
1990-02-12,-7.5,971.05,,218.1413975718809
1990-02-13,-7.125,972.5375,14.0,181.77728432662968
1990-02-14,-8.1125,978.9875,18.0,196.84161401968115
1990-02-15,-7.175,975.875,7.333333333333333,244.09038782907407
1990-02-16,-9.6625,980.7,19.0,165.10555391152505
1990-02-17,-10.6125,983.2,18.0,182.48562069330072
1990-02-18,-12.1875,983.8125,14.333333333333334,217.56980494744067
1990-02-19,-10.6375,983.5625,10.5,216.77881120326578
1990-02-20,-10.3375,983.375,26.0,243.20920687706104
1990-02-21,-12.375,976.65,25.666666666666668,216.52090276274228
1990-02-22,-13.3125,967.475,14.0,199.99999999999997
1990-02-23,-10.885714285714286,970.2375,5.75,188.32804470503768
1990-02-24,-10.85,982.3375,5.0,199.40469366990456
1990-02-25,-11.175,970.7125,20.5,214.31799598404712
1990-02-26,-11.2875,965.2625,17.8,171.67043694469768
1990-02-27,-8.6875,964.1,15.8,175.0195540202667
1990-02-28,-7.8375,973.7125,17.0,176.45603500080958
1990-03-01,-9.0625,975.7625,18.0,175.83158776812553
1990-03-02,-11.6875,978.9875,14.4,183.69787810565387
1990-03-03,-11.7375,980.3625,17.375,187.4952312784634
1990-03-04,-11.725,981.85,13.0,193.77927849817473
1990-03-05,-14.012500000000001,978.6,15.0,222.32513941191556
1990-03-06,-16.75,978.2125,17.0,202.4557298375421
1990-03-07,-18.1125,981.025,20.333333333333332,183.3124813211817
1990-03-08,-18.425,981.7,13.8,190.0
1990-03-09,-16.1625,982.6125,9.25,197.55923518813256
1990-03-10,-14.7,979.2125,22.0,173.7125737548128
1990-03-11,-16.425,978.8875,3.3333333333333335,230.72130280205772
1990-03-12,-13.4875,978.575,7.0,266.2550005889262
1990-03-13,-13.6625,975.025,10.666666666666666,208.84563095153376
1990-03-14,-14.3875,969.425,8.6,183.3923257518237
1990-03-15,-11.6125,961.7,8.0,272.4135298229279
1990-03-16,-11.7125,965.525,23.333333333333332,171.88282386910242
1990-03-17,-12.975,971.4875,14.5,224.20467543277073
1990-03-18,-15.925,970.6375,18.5,200.6547379799031
1990-03-19,-12.5625,969.1875,6.625,196.1890604622985
1990-03-20,-9.2625,969.1125,9.6,186.23865635326246
1990-03-21,-7.9375,973.475,12.75,173.7226935351444
1990-03-22,-10.0375,982.4625,12.25,215.68123706078657
1990-03-23,-13.975,983.175,32.0,224.25360816885203
1990-03-24,-17.125,979.6625,11.666666666666666,239.67496774153548
1990-03-25,-22.787499999999998,976.9625,20.0,212.3856089293033
1990-03-26,-25.1125,973.4875,19.0,261.527863753138
1990-03-27,-17.975,968.0875,16.333333333333332,249.27596389016796
1990-03-28,-17.7375,970.3,7.0,176.54500019022643
1990-03-29,-20.65,977.8875,5.0,227.52808925065824
1990-03-30,-20.7375,980.725,3.6666666666666665,220.3015599490357
1990-03-31,-21.35,980.9375,7.0,282.3961595234455
1990-04-01,-22.525,976.575,12.5,189.0852670027031
1990-04-02,-23.5375,980.825,7.0,192.00734497949747
1990-04-03,-25.0125,985.3875,1.0,206.97592159939705
1990-04-04,-25.4,981.7125,7.0,304.92326698343027
1990-04-05,-23.5125,987.475,5.8,216.0690596087967
1990-04-06,-21.0,1002.3625,15.666666666666666,202.13906424405025
1990-04-07,-20.3125,997.775,5.6,308.6052182123044
1990-04-08,-23.32857142857143,983.0875,19.0,221.87177782033157
1990-04-09,-22.325,982.1625,12.5,223.24654601398655
1990-04-10,-19.8375,978.65,9.0,243.19917730572936
1990-04-11,-15.7,976.2125,4.0,256.89771965061493
1990-04-12,-13.95,977.825,19.4,237.4377905698081
1990-04-13,-14.5875,982.1875,20.0,235.75234462560746
1990-04-14,-17.05,982.575,12.0,234.2002036522677
1990-04-15,-18.075,975.8875,6.25,312.5433584616548
1990-04-16,-16.2375,973.5875,3.0,206.2476139470282
1990-04-17,-18.075,980.1,11.0,189.73927892726357
1990-04-18,-24.2,982.8125,18.0,178.74940931257473
1990-04-19,-29.1375,986.1625,18.25,193.6635226877547
1990-04-20,-29.2,979.425,14.5,244.99999999999997
1990-04-21,-30.4,969.7375,,259.7171205364962
1990-04-22,-24.4,956.9625,28.8,246.23865635326246
1990-04-23,-16.7,960.1625,13.5,264.0476364633323
1990-04-24,-15.675,968.425,20.0,228.73016060634586
1990-04-25,-20.15,981.4625,26.0,230.0
1990-04-26,-18.5625,999.65,,217.1747127847249
1990-04-27,-16.8875,1004.0625,21.0,177.74703783223433
1990-04-28,-12.175,1001.85,16.0,179.9616312267025
1990-04-29,-10.5375,1005.8874999999999,20.0,203.62302049082956
1990-04-30,-12.5125,1007.7125,5.0,199.61702385928157
1990-05-01,-10.7125,1000.9125,,219.08149590871423
1990-05-02,-12.25,998.825,13.0,210.03246799221162
1990-05-03,-12.225,993.9875,13.0,214.1193897320841
1990-05-04,-15.9125,1001.65,6.0,178.36372741162302
1990-05-05,-17.275,1004.4375,4.25,251.1048202506056
1990-05-06,-14.2375,999.15,7.0,273.50309383017907
1990-05-07,-15.1,1005.7375,12.333333333333334,217.57039990613478
1990-05-08,-16.8375,1010.05,2.6666666666666665,259.94244269961445
1990-05-09,-20.225,1008.7375,2.0,183.83092738240165
1990-05-10,-23.325,1005.8375,3.4285714285714284,238.22616307112327
1990-05-11,-25.1,999.85,1.8,185.0
1990-05-12,-29.0375,992.725,3.25,220.57628894836336
1990-05-13,-29.7,996.8625,1.8571428571428572,314.27128173906766
1990-05-14,-29.1875,996.5625,2.0,324.57771286499815
1990-05-15,-25.2625,991.3375,15.0,176.17162093122562
1990-05-16,-22.5125,981.7,30.0,173.74701698623116
