Year: 2012  Month: 07  ID: CBD  ARGOS:  9504  Name: CAPE BIRD           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2012 183  7  1 0000  -24.9 1008.8  444.0  444.0   66.6  444.0
2012 183  7  1 0100  -24.2 1008.6    3.3  216.1   60.1  444.0
2012 183  7  1 0200  -24.5 1008.9    3.8  204.4   67.4  444.0
2012 183  7  1 0300  -24.1 1009.0    1.4  187.3   59.3  444.0
2012 183  7  1 0400  -23.8 1008.9    2.8  196.7   59.7  444.0
2012 183  7  1 0500  -22.8 1008.5    2.5  206.6   50.6  444.0
2012 183  7  1 0600  -24.1 1008.1    1.7  217.8   66.5  444.0
2012 183  7  1 0700  -22.2 1007.8    0.9  133.1   50.8  444.0
2012 183  7  1 0800  -21.8 1007.8    2.0   93.6   48.0  444.0
2012 183  7  1 0900  -22.7 1007.6    1.1  209.9   58.8  444.0
2012 183  7  1 1000  -22.3 1007.6    1.1  203.3   55.8  444.0
2012 183  7  1 1100  -23.3 1007.4    0.6  143.5   63.7  444.0
2012 183  7  1 1200  -23.3 1006.8    1.9  191.8   61.6  444.0
2012 183  7  1 1300  -24.0 1006.3    0.1  187.9   64.7  444.0
2012 183  7  1 1400  -24.7 1006.0    0.1  159.8   69.7  444.0
2012 183  7  1 1500  -24.5 1005.4    1.6  212.1   69.0  444.0
2012 183  7  1 1600  -24.7 1004.9    2.6  211.4   73.0  444.0
2012 183  7  1 1700  -24.3 1004.9    0.4  204.8   69.1  444.0
2012 183  7  1 1800  -24.5 1004.5    0.1  196.7   72.2  444.0
2012 183  7  1 1900  -24.7 1004.0    1.6  218.7   71.9  444.0
2012 183  7  1 2000  -24.7 1003.5    2.2  201.3   74.8  444.0
2012 183  7  1 2100  -24.6 1002.8    3.1  206.7   75.5  444.0
2012 183  7  1 2200  -24.1 1002.5    2.2  214.3   70.9  444.0
2012 183  7  1 2300  -24.3 1002.4    1.4  211.6   69.4  444.0
2012 184  7  2 0000  -24.5 1001.7    0.0    0.0   63.2  444.0
2012 184  7  2 0100  -25.5 1001.5    3.4   50.2   75.0  444.0
2012 184  7  2 0200  -24.9 1001.0    2.5   50.3   70.9  444.0
2012 184  7  2 0300  -26.9 1000.3    2.8   64.5   75.0  444.0
2012 184  7  2 0400  -22.9 1000.0    4.1   53.8   55.7  444.0
2012 184  7  2 0500  -26.6  999.6    0.9   45.2   69.9  444.0
2012 184  7  2 0600  -22.2  998.9    3.5   54.9  444.0  444.0
2012 184  7  2 0700  -26.7  998.1    1.7   57.9   75.2  444.0
2012 184  7  2 0800  -25.4  998.1    2.4  207.5   67.2  444.0
2012 184  7  2 0900  -25.9  997.4    0.3  236.2   73.2  444.0
2012 184  7  2 1000  -26.5  997.0    0.9  172.1   77.5  444.0
2012 184  7  2 1100  -25.6  996.1    2.0  218.5   70.4  444.0
2012 184  7  2 1200  -25.7  996.2    0.6   55.0   73.8  444.0
2012 184  7  2 1300  -24.9  996.1    0.1   27.3   67.9  444.0
2012 184  7  2 1400  -22.6  996.1    1.9  151.7   51.6  444.0
2012 184  7  2 1500  -21.2  996.3    2.9  200.9   42.6  444.0
2012 184  7  2 1600  -22.9  996.7    0.8   83.7   52.1  444.0
2012 184  7  2 1700  -24.1  996.2    0.5  121.9   62.3  444.0
2012 184  7  2 1800  -25.3  996.4    0.2  227.5   69.8  444.0
2012 184  7  2 1900  -25.4  996.3    3.5  189.9   70.7  444.0
2012 184  7  2 2000  -25.1  996.6    4.0  205.8   71.6  444.0
2012 184  7  2 2100  -24.7  997.1    4.3  198.2   70.0  444.0
2012 184  7  2 2200  -24.0  998.0    1.5  195.7   64.0  444.0
2012 184  7  2 2300  -25.7  998.7    3.6  189.4   73.4  444.0
2012 185  7  3 0000  -25.1  999.2    1.3  112.6   71.5  444.0
2012 185  7  3 0100  -24.9  999.4    3.0  187.6   68.3  444.0
2012 185  7  3 0200  -24.7  999.6    0.9  168.4   68.0  444.0
2012 185  7  3 0300  -26.1 1000.1    0.5   38.2   71.5  444.0
2012 185  7  3 0400  -24.4 1000.4    1.7   69.7   65.5  444.0
2012 185  7  3 0500  -24.9 1000.6    1.9   34.1   66.0  444.0
2012 185  7  3 0600  -26.7 1001.2    0.3   83.6   72.4  444.0
2012 185  7  3 0700  -26.3 1001.7    0.6   78.7   75.3  444.0
2012 185  7  3 0800  -25.8 1002.2    2.8   60.5   73.8  444.0
2012 185  7  3 0900  -25.6 1002.8    1.8   73.6   72.2  444.0
2012 185  7  3 1000  -25.5 1003.0    0.5  137.5   70.9  444.0
2012 185  7  3 1100  -25.3 1003.2    0.0    0.0   71.1  444.0
2012 185  7  3 1200  -25.2 1003.6    0.1  126.1   71.3  444.0
2012 185  7  3 1300  -25.4 1004.0    1.4  187.1   72.2  444.0
2012 185  7  3 1400  -25.5 1004.2    2.6  188.0   71.4  444.0
2012 185  7  3 1500  -25.7 1004.5    2.7  212.0   70.1  444.0
2012 185  7  3 1600  -25.6 1005.0    4.2  210.6   74.3  444.0
2012 185  7  3 1700  -26.1 1005.1    3.6  204.0   73.2  444.0
2012 185  7  3 1800  -25.3 1005.4    2.8  219.0   66.5  444.0
2012 185  7  3 1900  -25.4 1005.9    1.0  219.1   69.5  444.0
2012 185  7  3 2000  -25.2 1006.1    2.0  208.7   67.0  444.0
2012 185  7  3 2100  -26.4 1006.9    2.0   55.9   74.5  444.0
2012 185  7  3 2200  -26.8 1007.1    1.6   71.0   75.6  444.0
2012 185  7  3 2300  -26.8 1007.4    1.2   73.0   77.1  444.0
2012 186  7  4 0000  -26.6 1007.4    2.3   55.7   76.9  444.0
2012 186  7  4 0100  -26.3 1007.5    1.3   65.4   76.7  444.0
2012 186  7  4 0200  -25.6 1007.6    0.6  101.6   75.4  444.0
2012 186  7  4 0300  -25.3 1007.6    1.1   89.2   75.2  444.0
2012 186  7  4 0400  -25.1 1007.4    2.0  198.1   74.6  444.0
2012 186  7  4 0500  -24.8 1007.5    1.4  182.4   70.0  444.0
2012 186  7  4 0600  -25.9 1007.4    2.2   95.0   75.0  444.0
2012 186  7  4 0700  -25.4 1007.3    2.5   56.9   74.1  444.0
