Year: 2018  Month: 08  ID: CBD  ARGOS: 99504  Name: Cape Bird           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2018 213  8  1 0000  -28.2 1006.4    2.4  123.1   71.2  444.0
2018 213  8  1 0100  -27.9 1005.9    2.2  100.8   67.5  444.0
2018 213  8  1 0200  -27.8 1005.4    3.4   61.9   65.1  444.0
2018 213  8  1 0300  -28.0 1005.1    1.8   96.2   67.1  444.0
2018 213  8  1 0400  -27.8 1004.2    1.3   88.9   64.6  444.0
2018 213  8  1 0500  -27.9 1003.9    0.8   67.6   69.1  444.0
2018 213  8  1 0600  -28.2 1003.4    4.1   24.2   72.2  444.0
2018 213  8  1 0700  -28.8 1002.8    1.2  154.8   74.0  444.0
2018 213  8  1 0800  -29.1 1002.5    5.0   46.8   74.0  444.0
2018 213  8  1 0900  -29.1 1002.3    3.4   31.3   74.4  444.0
2018 213  8  1 1000  -29.3 1001.9    3.0   60.7   74.2  444.0
2018 213  8  1 1100  -29.6 1001.5    3.3   56.9   74.1  444.0
2018 213  8  1 1200  -29.2 1001.0    2.8   69.3   74.2  444.0
2018 213  8  1 1300  -29.2 1000.6    1.7   80.1   74.1  444.0
2018 213  8  1 1400  -29.4 1000.4    2.7   85.8   74.8  444.0
2018 213  8  1 1500  -29.3  999.9    3.2   73.1   74.6  444.0
2018 213  8  1 1600  -29.4  999.8    2.1   86.0   74.6  444.0
2018 213  8  1 1700  -29.0  999.5    1.2  180.5   74.2  444.0
2018 213  8  1 1800  -29.0  999.5    0.3  153.9   74.3  444.0
2018 213  8  1 1900  -28.7  999.4    1.0  157.2   73.9  444.0
2018 213  8  1 2000  -28.8  999.5    2.1  133.6   76.1  444.0
2018 213  8  1 2100  -28.3  999.7    1.4  159.4   76.3  444.0
2018 213  8  1 2200  -28.4  999.7    2.6  172.7   76.1  444.0
2018 213  8  1 2300  -28.5  999.8    3.7  177.7   75.8  444.0
2018 214  8  2 0000  -28.6  999.8    4.4  171.6   75.5  444.0
2018 214  8  2 0100  -28.4  999.7    3.9  194.0   73.0  444.0
2018 214  8  2 0200  -29.0 1000.0    1.6  153.9   70.7  444.0
2018 214  8  2 0300  -30.1 1000.4    2.4  195.6   73.3  444.0
2018 214  8  2 0400  -29.6 1000.4    0.7  119.7   74.6  444.0
2018 214  8  2 0500  -29.1 1000.6    1.1  185.4   74.8  444.0
2018 214  8  2 0600  -28.5 1000.7    4.0   56.8   76.1  444.0
2018 214  8  2 0700  -28.5 1001.1    3.4   51.5   76.0  444.0
2018 214  8  2 0800  -29.0 1001.2    2.9   93.9   75.6  444.0
2018 214  8  2 0900  -28.7 1001.6    3.2  117.8   75.5  444.0
2018 214  8  2 1000  -29.0 1001.6    3.7  122.8   75.1  444.0
2018 214  8  2 1100  -29.0 1001.4    3.5  124.5   74.0  444.0
2018 214  8  2 1200  -28.6 1001.7    3.0  145.2   72.3  444.0
2018 214  8  2 1300  -28.4 1001.6    3.1  160.1   74.0  444.0
2018 214  8  2 1400  -28.3 1001.6    3.5  160.1   73.3  444.0
2018 214  8  2 1500  -28.5 1001.5    2.8  152.0   72.5  444.0
2018 214  8  2 1600  -28.7 1001.3    2.9  144.8   71.6  444.0
2018 214  8  2 1700  -28.4 1001.4    1.8  163.9   72.0  444.0
2018 214  8  2 1800  -29.3 1001.0    2.7  126.0   68.9  444.0
2018 214  8  2 1900  -29.4 1000.9    3.0  130.4   67.6  444.0
2018 214  8  2 2000  -29.1 1001.2    1.6  106.8   69.5  444.0
2018 214  8  2 2100  -29.5 1001.4    2.6   95.6   69.4  444.0
2018 214  8  2 2200  -29.7 1001.5    2.8   75.5   71.0  444.0
2018 214  8  2 2300  -29.9 1001.8    2.9   67.5   72.7  444.0
2018 215  8  3 0000  -29.7 1001.7    2.5   70.3   70.6  444.0
2018 215  8  3 0100  -29.4 1002.0    2.5   49.5   68.0  444.0
2018 215  8  3 0200  -29.5 1002.4    2.6   61.1   64.3  444.0
2018 215  8  3 0300  -30.0 1002.5    2.2   86.7   63.9  444.0
2018 215  8  3 0400  -30.6 1003.6    2.5   92.5   71.5  444.0
2018 215  8  3 0500  -29.7 1003.5    1.6   46.7   68.2  444.0
2018 215  8  3 0600  -29.5 1004.0    2.6   64.1   60.8  444.0
2018 215  8  3 0700  -29.5 1004.5    1.9   88.0   60.5  444.0
2018 215  8  3 0800  -29.6 1005.2    2.8   95.3   59.7  444.0
2018 215  8  3 0900  -29.4 1005.5    2.5  126.1   55.1  444.0
2018 215  8  3 1000  -29.1 1005.9    2.9  123.4   52.8  444.0
2018 215  8  3 1100  -29.4 1006.3    3.6  127.1   55.1  444.0
2018 215  8  3 1200  -29.4 1006.4    3.3  133.2   57.5  444.0
2018 215  8  3 1300  -28.8 1006.7    2.3  108.8   56.7  444.0
2018 215  8  3 1400  -29.3 1006.7    3.2  131.4   58.3  444.0
2018 215  8  3 1500  -29.0 1007.2    2.6  108.5   58.1  444.0
2018 215  8  3 1600  -29.0 1007.3    2.9  112.9   55.1  444.0
2018 215  8  3 1700  -29.4 1006.7    3.3  134.9   56.4  444.0
2018 215  8  3 1800  -29.2 1006.9    3.5  116.2   57.0  444.0
2018 215  8  3 1900  -29.3 1007.1    3.8  118.8   58.1  444.0
2018 215  8  3 2000  -29.1 1007.1    2.6  118.2   61.6  444.0
2018 215  8  3 2100  -29.3 1007.2    2.3  125.5   65.5  444.0
2018 215  8  3 2200  -29.3 1006.8    1.7  133.5   66.3  444.0
2018 215  8  3 2300  -29.3 1006.7    0.2  136.2   67.6  444.0
2018 216  8  4 0000  -29.9 1006.3    1.5   74.3   67.3  444.0
2018 216  8  4 0100  -29.9 1005.8    0.9  106.9   67.9  444.0
2018 216  8  4 0200  -29.8 1005.2    2.0  177.3   68.2  444.0
2018 216  8  4 0300  -29.3 1004.2    3.8  201.7   69.5  444.0
2018 216  8  4 0400  -29.5 1003.6    4.7  187.4   69.7  444.0
2018 216  8  4 0500  -29.3 1003.0    5.4  193.8   70.1  444.0
2018 216  8  4 0600  -29.3 1002.8    4.5  198.0   71.2  444.0
2018 216  8  4 0700  -29.4 1002.4    4.9  190.5   71.3  444.0
2018 216  8  4 0800  -29.3 1001.6    4.6  211.4   71.8  444.0
2018 216  8  4 0900  -29.7 1001.1    3.7  201.9   72.9  444.0
2018 216  8  4 1000  -29.5 1000.8    4.9  227.2   73.8  444.0
2018 216  8  4 1100  -30.0 1000.6    2.2  195.5   71.7  444.0
2018 216  8  4 1200  -29.9 1000.5    2.4  173.1   71.8  444.0
2018 216  8  4 1300  -29.9 1000.2    1.9  145.4   72.6  444.0
2018 216  8  4 1400  -29.8 1000.1    2.5  164.7   72.6  444.0
2018 216  8  4 1500  -30.2 1000.1    1.0   47.5   72.1  444.0
2018 216  8  4 1600  -30.3  999.8    1.0  101.6   73.3  444.0
2018 216  8  4 1700  -30.6  999.7    0.5  102.0   73.3  444.0
2018 216  8  4 1800  -30.8  999.7    2.1   82.3   73.3  444.0
2018 216  8  4 1900  -30.8  999.6    1.8   86.9   73.4  444.0
2018 216  8  4 2000  -30.5  999.6    1.0  126.0   73.3  444.0
2018 216  8  4 2100  -30.0  999.3    1.3  166.9   73.6  444.0
2018 216  8  4 2200  -30.2  999.6    3.1   68.3   73.5  444.0
2018 216  8  4 2300  -30.1  998.9    2.1  110.2   73.2  444.0
2018 217  8  5 0000  -30.2  998.5    2.9  107.6   73.3  444.0
2018 217  8  5 0100  -29.8  998.3    1.7  105.2   73.1  444.0
