2000	-1 -1 -1 -1 237.1629912394116 237.1629912394116 237.1629912394116 237.1629912394116 237.1629912394116 467.85557052539355 667.7008014129246 1506.5097241274136 1506.5097241274136 1510.627287345629 1649.621246378165 1687.7396035251945 1925.68987853972 1925.68987853972 1963.7918941513597 2262.458355106978 2262.458355106978 2262.458355106978 2262.458355106978 2262.458355106978
2001	1848.49071766545 1848.49071766545 1848.49071766545 1848.49071766545 1848.49071766545 1860.8504761028719 1862.9101686242007 1873.2101181246992 1922.6477249752813 1923.6776038968526 2057.5169240381942 2060.606358593023 2060.606358593023 2066.786108146937 2800.9339911866355 2800.9339911866355 2800.9339911866355 2800.9339911866355 2800.9339911866355 2800.9339911866355 2800.9339911866355 2800.9339911866355 2800.9339911866355 2800.9339911866355
2002	1278.8658172787723 1278.8658172787723 1278.8658172787723 1278.8658172787723 1279.8962560994396 1504.3321701096613 1522.8746177776943 1555.8261788420843 1573.3336306994418 1595.9904836722012 1608.3517186478869 2545.63128855165 2545.63128855165 2546.660880716224 2800.9339911866364 2800.9339911866364 2800.9339911866364 2800.9339911866364 2800.9339911866364 2800.9339911866364 2800.9339911866364 2800.9339911866364 2800.9339911866364 2800.9339911866364
2003	2029.6986054125018 2029.6986054125018 2029.6986054125018 2031.7590924511144 2032.7895061623506 2060.610178379814 2060.610178379814 2061.639981026642 2114.170610182236 2114.170610182236 2114.170610182236 2114.170610182236 2114.170610182236 2114.170610182236 2114.170610182236 2114.170610182236 2114.170610182236 2114.170610182236 2114.170610182236 2115.200655816988 2119.3207657030653 2119.3207657030653 2119.3207657030653 2136.8298974056943
2004	1947.3025362651622 1960.6971520116892 1965.8489719621357 1979.2444395937325 1988.5144179640715 2027.6471899868643 2043.0929957972744 2043.0929957972744 2099.7402170097075 2219.2147860563227 2219.2147860563227 2219.2147860563227 2231.5715004635586 2240.8402966405924 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636
2005	1982.3386385220917 1982.3386385220917 1982.3386385220917 1982.3386385220917 1983.368734851153 2000.8752344032162 2004.9949206722317 2358.1858177163876 2582.692819906862 2582.692819906862 2582.692819906862 2582.692819906862 2582.692819906862 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636 2800.933991186636
2006	1959.67223009919 1959.67223009919 1959.67223009919 1959.67223009919 1959.67223009919 1964.8223721944087 1975.1237763875683 1979.2443630971795 1993.6656085178547 2128.5820525201198 2131.671882791551 2136.8218974963074 2664.0268995793313 2664.0268995793313 2670.2034433734466 2672.2623299077923 2673.2917439653907 2674.321132744609 2679.4680159875143 2679.4680159875143 2683.5857939525313 2685.6444441542676 2690.791320500145 2714.4678497578107
2007	1751.6261022941346 1751.6261022941346 1759.8688908125087 1759.8688908125087 1760.899204996287 1777.3731395596494 1870.0669222338563 2026.6354814505767 2142.9866287256036 2145.046613528345 2159.465753628177 2159.465753628177 2159.465753628177 2165.6452680782977 2195.508074477246 2251.115465976872 2280.9812088271715 2302.606592337517 2368.5205126596293 2368.5205126596293 2370.5791649160587 2370.5791649160587 2370.5791649160587 2373.668068299754
2008	1597.1350387930815 1597.1350387930815 1597.1350387930815 1621.8686083739012 1648.6528268007369 1778.375554564648 1781.465067787688 1790.7349866756094 1791.765292691682 1806.1876568533003 1919.4949745720119 2012.187518494361 2017.3383882985115 2134.7671177984334 2147.1284173712033 2154.338837902601 2809.175990821462 2809.175990821462 2812.2660238570616 2812.2660238570616 2812.2660238570616 2812.2660238570616 2812.2660238570616 2812.2660238570616
2009	1423.1000671140605 1423.1000671140605 1423.1000671140605 1423.1000671140605 1428.2511211308695 1456.0627169344177 1515.7748194813198 1520.9254702722453 1810.279371283362 2238.772437393383 2239.802641467637 2240.832621286678 2240.832621286678 2240.832621286678 2240.832621286678 2240.832621286678 2241.862323286369 2241.862323286369 2249.0744515658844 2249.0744515658844 2249.0744515658844 2249.0744515658844 2250.104119755582 2291.2960817100766
