freeze_month;area_bb;freeze_month_numeric;
Multi-year;209435000;0;
Multi-year;19613610;0;
Multi-year;1977251;0;
Multi-year;20690405;0;
Multi-year;7524417;0;
Multi-year;33737506;0;292978189
March;19114752;3;
March;36663091;3;
March;2308959;3;
March;206262768;3;557327759
April;14739776;4;
April;10020679;4;582088214
May;6393507;5;
May;6900573;5;
May;46586138;5;641968432
June;3129372;6;
June;4644982;6;
June;21965721;6;671708507
August;113232382;8;
August;326;8;
August;290;8;
August;51476271;8;
August;72837326;8;
August;67239383;8;976494485
September;1622067994;9;2598562479
