2000	-1 -1 -1 -1 271.1644366397459 467.85557052539355 783.0121670146091 2768.9687648287404 1837.1517796200815 1705.3257778912364 1673.3020763988552 1712.4490633794944 2478.65918688434 2129.610895622778 1982.3226541021231 2768.9687648287404 2768.9687648287404 2766.9101486124455 2480.7244715471534 2463.22057852064 2461.165988327716 2421.0141308313487 2271.7244033999464 2276.8737310628712
2001	2256.3188975954085 2174.9646018889157 2178.0547014833824 2067.8517220708545 1952.5107229324437 1980.302993968334 2005.0055738439787 2119.3039334886926 2221.2599029790877 1982.3897759791919 2127.5473550160646 2134.7574131827996 2134.7574131827996 2066.786108146937 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635
2002	2531.2124081921347 2304.6863153500003 1834.0702584644653 1699.176952907983 1539.5336331313815 1736.1387352505435 1727.9063809451254 1793.817465151079 1578.4840182811367 1610.413843731713 1608.3517186478864 2742.2601550837035 2571.36824726982 2546.660880716223 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635
2003	2800.933991186635 2525.009287965107 2522.940409052351 2505.431589272636 2502.3359225156864 2382.9414693608646 2272.7397277370455 2291.2644626145147 2358.2265914344557 2298.5032004191485 2264.5192361522386 2275.8467514268295 2274.816417763643 2278.9334948284195 2275.8428830699054 2298.5028357573606 2228.4776452597866 2217.14738734493 2178.0189053552704 2167.717424583531 2174.929054467598 2223.3303995722104 2122.409463887791 2136.829897405694
2004	2068.8382230493485 2057.5122072812223 2061.6265421327794 2036.92134275895 2014.26334903106 2068.8320833614744 2095.607444587738 2063.6820709004983 2337.578087486984 2364.415827827086 2279.9739422608395 2232.6011082531486 2262.456782102509 2240.8402966405915 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635
2005	2800.933991186635 2790.6371649157977 2581.631812951505 2011.1751652411688 1999.849280122923 2013.2315544680544 2008.0850846190895 2401.4195328850983 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2582.692819906861 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635 2800.933991186635
2006	2800.933991186635 2800.933991186635 2701.0812258332635 2713.4340927592657 2205.8190273317778 1989.5322659083042 1998.8057046676151 2099.7106317862626 2000.8754258738359 2326.28476379149 2223.3112802944966 2138.88057484845 2728.878504248051 2728.8783003866547 2720.6438106166584 2717.5559032968745 2717.5558725143014 2688.7329787179674 2715.4973170855155 2705.203114347082 2701.0874177904175 2695.9389813867756 2690.7913205001446 2714.46784975781
2007	2020.4443033453545 1976.1472514900597 1947.305544761547 1947.305544761547 1811.3680073489306 1782.5219729661997 1887.5683964550597 2059.595223288822 2176.97196017999 2156.37385783919 2194.481271287011 2196.5383031067176 2192.4172818895217 2169.7650236276295 2195.5080744772454 2253.1741182333017 2285.0998449787076 2302.6065923375177 2406.6174299553754 2384.997187018064 2802.993158339614 2437.509336433355 2442.661136755897 2373.6680682997544
2008	2207.8737251786847 2155.353969800254 2087.3582573638164 1700.133933839274 1707.374297626278 1910.2006272743179 1844.2852046256178 1844.279608179529 1820.5998936744932 1828.8423399897388 1957.605962567307 2129.5961658956235 2048.2265084129544 2284.069121493049 2176.9929096538367 2157.4288709381995 2812.266023857061 2809.175990821462 2812.266023857061 2812.266023857061 2812.266023857061 2812.266023857061 2812.266023857061 2812.266023857061
2009	2808.148757620777 2539.430816203854 2194.479381398686 1473.5704741254183 1473.5774948806397 1482.8522392926263 1709.3624844802225 1530.1984694431658 1815.4322631599305 2356.17493479619 2370.582868698021 2812.266023857061 2390.1498720234454 2376.762117913577 2355.1361574151447 2339.6910366315183 2812.266023857061 2573.4328364055723 2812.266023857061 2417.953953888574 2349.992957146898 2352.055401231532 2250.10435196131 2291.2960817100757
