Year: 2019  Month: 08  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.50S  Lon: 170.79E  Elev:   34m
2019 213  8  1 0000  -37.8  996.7  444.0  444.0   71.6  444.0
2019 213  8  1 0100  -35.9  996.7  444.0  444.0   73.4  444.0
2019 213  8  1 0200  -40.0  996.5  444.0  444.0   69.0  444.0
2019 213  8  1 0300  -35.4  996.6  444.0  444.0   71.6  444.0
2019 213  8  1 0400  -35.8  996.8  444.0  444.0   74.7  444.0
2019 213  8  1 0500  -40.5  996.7  444.0  444.0   68.1  444.0
2019 213  8  1 0600  -40.6  996.4  444.0  444.0   68.1  444.0
2019 213  8  1 0700  -41.5  996.5  444.0  444.0   66.8  444.0
2019 213  8  1 0800  -42.1  996.6  444.0  444.0   66.3  444.0
2019 213  8  1 0900  -43.2  996.5  444.0  444.0   65.9  444.0
2019 213  8  1 1000  -44.2  996.3  444.0  444.0   64.1  444.0
2019 213  8  1 1100  -45.9  996.0  444.0  444.0   61.9  444.0
2019 213  8  1 1200  -43.8  995.7  444.0  444.0   64.6  444.0
2019 213  8  1 1300  -41.2  995.2  444.0  444.0   67.2  444.0
2019 213  8  1 1400  -40.1  994.7  444.0  444.0   68.5  444.0
2019 213  8  1 1500  -41.0  994.5  444.0  444.0   67.6  444.0
2019 213  8  1 1600  -42.1  994.4  444.0  444.0   67.2  444.0
2019 213  8  1 1700  -44.5  994.3  444.0  444.0   63.7  444.0
2019 213  8  1 1800  -45.9  994.1  444.0  444.0   61.9  444.0
2019 213  8  1 1900  -47.0  994.1  444.0  444.0   60.6  444.0
2019 213  8  1 2000  -46.2  994.1  444.0  444.0   61.5  444.0
2019 213  8  1 2100  -45.8  994.3  444.0  444.0   61.9  444.0
2019 213  8  1 2200  -47.6  994.3  444.0  444.0   59.3  444.0
2019 213  8  1 2300  -47.0  994.5  444.0  444.0   60.6  444.0
2019 214  8  2 0000  -44.8  994.9  444.0  444.0   63.2  444.0
2019 214  8  2 0100  -45.2  995.1  444.0  444.0   62.4  444.0
2019 214  8  2 0200  -42.9  995.5  444.0  444.0   65.4  444.0
2019 214  8  2 0300  -43.2  996.2  444.0  444.0   64.1  444.0
2019 214  8  2 0400  -42.9  996.8  444.0  444.0   65.0  444.0
2019 214  8  2 0500  -42.2  997.0  444.0  444.0   65.9  444.0
2019 214  8  2 0600  -42.5  997.4  444.0  444.0   65.4  444.0
2019 214  8  2 0700  -43.2  997.3  444.0  444.0   65.0  444.0
2019 214  8  2 0800  -44.2  997.6  444.0  444.0   63.7  444.0
2019 214  8  2 0900  -43.9  998.1  444.0  444.0   64.1  444.0
2019 214  8  2 1000  -42.4  998.1  444.0  444.0   65.4  444.0
2019 214  8  2 1100  -42.2  998.2  444.0  444.0   65.9  444.0
2019 214  8  2 1200  -41.0  998.8  444.0  444.0   66.8  444.0
2019 214  8  2 1300  -42.5  998.6  444.0  444.0   65.0  444.0
2019 214  8  2 1400  -41.9  999.2  444.0  444.0   66.3  444.0
