Year: 1992  Month: 07  ID: MPT  ARGOS:  8906  Name: Marble Point        
Lat: 77.44S  Lon: 163.76E  Elev:  108m
1992 183  7  1 0000  -21.3  995.4    4.4  137.0  444.0  444.0
1992 183  7  1 0100  -21.5  996.6    5.9  144.0  444.0  444.0
1992 183  7  1 0200  -21.3  997.6    6.1  140.0  444.0  444.0
1992 183  7  1 0300  -21.6  998.5    6.4  146.0  444.0  444.0
1992 183  7  1 0400  -21.1  999.1    8.6  142.0  444.0  444.0
1992 183  7  1 0500  -21.5  999.5    6.1  136.0  444.0  444.0
1992 183  7  1 0600  -21.8 1000.8    5.4  140.0  444.0  444.0
1992 183  7  1 0700  -22.4 1001.2    5.6  144.0  444.0  444.0
1992 183  7  1 0800  -22.4 1002.0    5.1  140.0  444.0  444.0
1992 183  7  1 0900  -22.1 1003.0    4.2  142.0  444.0  444.0
1992 183  7  1 1000  -22.1 1003.3    4.2  143.0  444.0  444.0
1992 183  7  1 1100  -21.9 1004.0    3.9  146.0  444.0  444.0
1992 183  7  1 1200  -21.6 1004.3    3.2  144.0  444.0  444.0
1992 183  7  1 1300  -22.1 1004.7    2.5  146.0  444.0  444.0
1992 183  7  1 1400  -22.4 1004.8    2.7  149.0  444.0  444.0
1992 183  7  1 1500  -20.1 1004.9    3.4  154.0  444.0  444.0
1992 183  7  1 1600  -19.6 1005.0    3.2  153.0  444.0  444.0
1992 183  7  1 1700  -19.1 1004.9    3.4  153.0  444.0  444.0
1992 183  7  1 1800  444.0  444.0  444.0  444.0  444.0  444.0
1992 183  7  1 1900  444.0  444.0  444.0  444.0  444.0  444.0
1992 183  7  1 2000  -18.3 1004.9    0.0    0.0  444.0  444.0
1992 183  7  1 2100  -18.4 1004.5    2.2  258.0  444.0  444.0
1992 183  7  1 2200  -18.8 1004.3    2.7  254.0  444.0  444.0
1992 183  7  1 2300  -18.4 1003.9    2.7  248.0  444.0  444.0
1992 184  7  2 0000  -18.3 1003.2    1.2  137.0  444.0  444.0
1992 184  7  2 0100  -18.9 1003.0    0.0    0.0  444.0  444.0
1992 184  7  2 0200  -19.0 1002.6    2.5  142.0  444.0  444.0
1992 184  7  2 0300  -19.1 1002.4    2.7  140.0  444.0  444.0
1992 184  7  2 0400  -19.6 1001.8    1.5  143.0  444.0  444.0
