Observation time UTC,Frequency [D/H],Maximum Temperature [Deg C],Data Source (max temp),Minimum Temperature [Deg C],Data Source (min temp),Grass Temperature [Deg C],Data Source (grass temp),Period (max temp),Period (min temp),Period (grass temp),Mean Temperature [Deg C],Period (mean temp),Data Source (mean temp),Mean Relative Humidity [percent]
2020-12-10T20:00:00Z,D,1.8,D,-4.1,D,,,24,24,,-1.2,24,D,
2020-12-11T20:00:00Z,D,0.7,D,-8.9,D,,,24,24,,-4.1,24,D,
2020-12-12T20:00:00Z,D,-3.1,D,-8.8,D,,,24,24,,-6,24,D,
2020-12-13T20:00:00Z,D,-4.9,D,-8.9,D,,,24,24,,-6.9,24,D,
2020-12-14T20:00:00Z,D,0.8,D,-5.9,D,,,24,24,,-2.6,24,D,
2020-12-15T20:00:00Z,D,2.2,D,-7.5,D,,,24,24,,-2.7,24,D,
2020-12-16T20:00:00Z,D,-1.9,D,-11,D,,,24,24,,-6.5,24,D,
2020-12-17T20:00:00Z,D,0.2,D,-7.1,D,,,24,24,,-3.5,24,D,
2020-12-18T20:00:00Z,D,0.5,D,-3.4,D,,,24,24,,-1.5,24,D,
2020-12-19T20:00:00Z,D,3.4,D,-2.4,D,,,24,24,,0.5,24,D,
2020-12-20T20:00:00Z,D,4.5,D,-1.7,D,,,24,24,,1.4,24,D,
2020-12-21T20:00:00Z,D,2.8,D,-1.5,D,,,24,24,,0.7,24,D,
2020-12-22T20:00:00Z,D,2.8,D,-1.8,D,,,24,24,,0.5,24,D,
2020-12-23T20:00:00Z,D,3.3,D,-4.4,D,,,24,24,,-0.6,24,D,
2020-12-24T20:00:00Z,D,1.6,D,-4.5,D,,,24,24,,-1.5,24,D,
2020-12-25T20:00:00Z,D,-1.1,D,-4.3,D,,,24,24,,-2.7,24,D,
2020-12-26T20:00:00Z,D,1.1,D,-3.7,D,,,24,24,,-1.3,24,D,
2020-12-27T20:00:00Z,D,2.3,D,-5.8,D,,,24,24,,-1.8,24,D,
2020-12-28T20:00:00Z,D,-0.6,D,-8.9,D,,,24,24,,-4.8,24,D,
2020-12-29T20:00:00Z,D,-0.2,D,-11.4,D,,,24,24,,-5.8,24,D,
