month,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,,0.07335155817923193,0.39352939968375616,0.01998599068953998,0.11154399300944556,0.0017433681508482928,0.042736286417705174,0.0,0.00016174552335762802,0.02840839105051351,0.03727935440470253,0.24303561431681636,0.009231119886638937,0.0,0.37593086060594694,0.27363482178798865,0.018585559370252427,0.0631420537685538,0.0056216135151343875,0.028045121770775328,0.0006575654793681022,0.0,0.056471399768036085,0.023533316878987402,0.022280389953361023,0.0501431838689737,0.08047070264487234,0.26595516839416644,0.11587147765691681,0.005812847452968785,,0.3323834214650587,0.12514209393803732,0.0312863211759754,0.2575055091828828,0.0790215589129353,0.54348958756784,0.022124861094476804,0.36184395209820575,0.006288513153711254,0.21251921532535675,0.020561698829692866,0.11885428684658299,0.02374550480460162,0.11829037305030747,0.18816697554891337,0.0,0.021156745274297874,0.37965245533318553,0.15162641983562428,0.026891096935960746,0.2107691137378617,0.2231333101350544,0.00957508240482974,0.2631310135667451,0.1843504289957416,0.018698500853434687,0.10141642150303325,0.29661114184150056,0.45016485720483185,0.16878053401951687
2,,0.0,0.0,0.0,0.05635489478938399,0.006614428138212591,0.11591211711345879,0.08719885497477935,0.03031454357640261,0.14683973211921678,0.17868587137184502,0.08086498356715688,0.0019577039934265627,0.2343881279621129,0.1299323497657979,0.21071141218198636,0.0011288078593892513,0.016846064589399797,0.028185240599247065,0.057118506370175015,0.11145475249734683,0.39741992354406197,0.0,0.10629399625554788,0.14163036491600917,0.45644458413158784,0.23729402779800005,0.02388443287569647,0.052064184734613786,0.33978649686721585,,0.20394853447453304,0.00764752763084913,0.0932339491458116,0.06124360256974008,0.04176101953385171,0.3756165039768841,0.0,0.22565501462707802,0.04913415469482106,0.0,0.199279681272575,0.32124856714216676,0.27687604669604304,0.7070184548098858,0.44085760019425724,0.012777941130056059,0.0843345026998031,0.08641109849553104,0.5330271445672583,0.381125914098316,0.09079576812848802,0.5429914046782657,0.18121598447340345,0.10954366772603695,0.004863873379073185,0.009708345699113096,0.24579410050370773,0.2636835014009772,0.06055699257217062,0.531880017490256
3,,0.8335372754537972,0.0,0.20009605338846248,0.0,0.00019589751935671117,0.03979802895478209,0.3942249681979425,0.013763223657878201,0.908232534531455,0.4794715842959749,0.03463050270752295,0.42248428322301207,0.16952012392831012,0.13998035944674014,0.5312061972771136,0.023744815672164646,0.06195206248832345,1.673451355860676,0.12627874605709188,0.1425767594916579,0.13272652821591985,0.43153772207841906,0.26457658754114827,0.4329749888914124,0.11261577550178652,0.01470606977575336,0.6135047100354353,0.0006973678287057536,0.2761975375274876,0.9736508479436053,0.08578567338053046,0.08083726866447676,0.777653807587992,0.6598855452777623,0.10757390150901369,0.20867706082919907,0.2618117606066004,0.016145850828471704,0.1713196740494618,0.8407303269502931,0.16599670963894161,0.17237305794312352,0.06467382957022559,0.07141745991272459,0.455186588086845,0.21806376123462357,0.13659627635966842,0.11703539633108165,0.5989490100865086,0.505665262012563,0.3744598666684046,,0.08721859703648555,0.358492798681752,0.20768443670036363,0.32873178610330467,0.12404188591945002,0.06942187323247877,0.2976850317916889,0.2119013972686656
4,,0.11124618494941858,0.18851634152948937,0.06612152949026269,1.1572653140387588,0.0,0.2114240149238183,0.8839980240390778,0.11272458856711443,0.2861998503164109,0.5645846763275444,0.2916316419439952,0.012103233742285618,0.31445276350258483,0.6489274950582685,0.8790901264424898,0.7718210219751778,0.0,0.43801169078742047,2.072307679222669,0.8456657775896818,0.37061484363386277,1.4349071276365317,0.22279038055380165,0.3850333816113672,0.09695791957786846,0.08922335707701129,0.38294853863332734,0.03808621424475652,0.9928984036404215,0.40609397792470225,0.2556330581355536,1.5353522297327618,0.3279326195083167,0.5139413324933387,0.3210486743608952,0.5808328182047404,1.1944478751050391,0.4970024725661603,0.9357510137976386,0.543407184396076,0.5917012628189292,0.05421684150653517,0.4739193084350061,0.48139018227234714,0.5256060870438185,1.0138392895923454,0.6000238108845547,1.4538647433208405,0.15172127570165744,0.4366696605412066,0.24406483205037144,0.17294082190715757,1.006712414292507,0.8199203077381725,0.8552085855264249,0.5731018688805648,0.6005894433171264,0.6969697205606963,0.061139373377184454,1.4919167710931245
5,,0.040462061661548004,0.003585628399555355,0.38840841877228605,0.14964340982608182,0.33701434209592085,0.7169524367967346,0.2928189669535102,0.7005462057601843,0.3701949169122563,0.5173136481279962,0.0,0.14465084453946092,0.4833934345542548,0.4677256354621383,0.0006997161424378768,0.9744501128989481,1.1035445268309518,0.4552420811135137,1.2152526315782284,0.6618757770088183,0.8904400728652841,0.41225967681157255,0.39560499092145274,0.20957099298074922,0.6613913241579621,0.0892244530108948,0.28895025690706705,0.1998938711598005,0.24854480325363504,0.29871422571191986,0.3682119160875008,1.4166264668114945,2.393081178318408,1.0290853810906422,0.17559174549882234,1.547483069399921,0.517581868784734,0.6914581508195473,1.5260749197161665,0.6182100326617792,1.4306526435677813,0.3280075591537283,0.24425301722681678,0.13054752758144103,0.15114438385757067,0.3743704044782956,2.272984883641886,1.9008565666703037,1.3775424558280316,1.0345225846974198,0.021068257261108912,0.7089375702529543,2.950240766602033,1.0564067619926594,0.6344230803340686,1.4034197070916872,0.5436070613789405,2.21627042734822,0.5591970846136263,1.3512551881636383
6,,0.1372118787047736,1.5106578019767147,2.0648363667665817,0.26041430244758196,0.020004874265886704,0.7419068521559893,0.5154677773717519,1.4764759292743574,0.870229111788293,0.004467586851415275,0.2664328571825077,0.0,0.37085834470800355,0.5716900143815327,1.7286785802160733,0.10808105027386763,0.9735789605852258,0.29749334469074523,0.16412139395193506,0.9857480699804947,0.7208111170839849,0.21092702457396814,0.05949345322460179,0.2540346151637504,0.1069216250305006,0.20179139522320266,0.187259376304113,0.04042583055554326,1.0531871949586165,0.268014812567599,0.029851711332612805,0.6224463899654232,0.9259280471028337,2.1818515178788,0.10339979123955946,0.12698218723151455,0.5478706072466786,0.16895180305559224,0.02381870576636834,0.03949914715648136,0.45569440058850186,0.7894987955551015,0.7077084494928119,1.6881328780484008,0.09587823611980702,0.47752190551820367,1.4640602181295146,0.11615232972031528,0.03125453675969965,0.32307152034270925,0.44107044715802496,0.27807798122466737,1.4139869189894612,0.5751916014096115,3.7642737636561163,1.4958799840314583,1.1098321348907005,0.2139093706312764,0.32776989450426436,1.9347656765201073
7,,0.3318707567157606,0.6025097028806903,0.7531372748420451,1.292149300788102,0.15668975592327716,0.010411853298392252,0.07957002377231089,0.24542604080301594,0.5098134682405691,0.23432271866506701,0.0,0.40075290348105025,0.25220176429291713,0.07796339777930775,0.3724785882182872,0.29806024102224954,0.19431916645295255,0.11466026496647336,0.26467133988349645,0.7514181336306512,0.1738095849118918,1.1376899254727812,0.030978180679773384,0.620999919349975,0.6156282678080717,0.0,0.006434403070092869,0.8385217308872733,3.029861966164342,0.11340674596575534,0.0,0.5685032451497053,0.778046828857124,0.5583321056569931,2.7715602811489273,0.7685186709053548,0.22825769966712933,0.2877310175493784,1.0969532801767126,0.06856921621261786,0.544115522861037,0.09582879808167555,0.17162417711154251,0.6356915635033029,0.7229599089966675,1.319875657995552,1.4241827055068184,0.8552780427701764,0.42143151729337885,0.19566357994455355,1.4228148815711958,0.0908782572191605,1.235413405616891,0.5109459766867226,1.2118663100430667,0.7665253995738155,0.1531548891698929,2.166958292666813,0.0,0.2934239809864578
8,,0.4701998767236052,0.6639150078262905,1.7956775819748179,0.10339566226200488,0.3961340827607517,0.23741373687575856,0.1511302071811696,0.5245950373445621,0.9381924448170759,0.17531346812213233,0.6484811924952445,0.12116487366857868,0.21494453576121414,0.013424219780174192,0.21956042923711244,0.16028745431841693,0.2938891684866368,2.063024289524188,0.6843375620850196,0.5075076502468442,0.1320634621301731,0.040729174489312125,1.5744851649881455,3.5576191937973416,0.14450066807108003,0.3156101689426952,0.24645105123195396,0.10254957942411473,0.13466087333261403,0.36263564616605193,1.1931758140921236,1.1442107404498714,0.41541180936535455,1.1463371377603326,0.08842734875512598,0.040218775396667746,0.0,0.33462018491533563,0.5192024601680477,0.0019433758298801175,0.6464308014834129,0.6414868454712791,1.0470744434172485,0.16252057639636913,0.01872761405727457,0.6985545683283342,2.0322938676736393,0.47330823901419566,0.7244170949901644,4.2573683301248835,1.8549731011684822,0.5402445002184644,3.006525737971809,0.07789940102317214,2.2316205121182633,1.1296933089494565,0.10686987219925015,1.0862239315392972,0.07065560247953982,0.052812076217688006
9,,0.058912573894871825,0.46767325007308264,0.3921712275829497,0.0,0.37049030625149976,0.12446886503062794,1.1726696396974312,0.6463003762606413,0.41995941282013866,0.047492821740442455,1.8187436840085254,0.3422912046772269,0.009228646984492156,0.3523851799068217,0.3027230187986582,0.26995409556384314,0.06640632116392513,0.5462289195222189,0.24032378546575134,0.17570788355170358,1.6084204736545353,0.24487676419371682,0.7205899733894306,1.0156505591131524,0.054366832232160614,0.1466760472015597,0.7737918745482301,0.7891678742317331,0.8345325890968489,0.029847227955423175,1.559549981756782,0.019767376547584356,0.7566568840045051,0.2460399851547845,0.389834649580042,0.16420287651243373,0.575438002858698,0.6187377009580313,0.2814738395703279,0.6778791028412066,0.2361199957644444,0.21324581086979955,0.49062638571005407,2.4180269599682207,0.3919490820957728,0.10429880921381911,0.1626044394124763,0.7957970520269707,0.13010316865539814,1.2818469833082988,0.5259446551850603,0.2969874773444137,0.389647522002668,1.4595994760192472,1.6559040567908572,0.3327034658944894,0.8725551331511092,1.3612418723441067,1.5671211066020094,0.054213610427660604
10,0.18868626867134766,0.44816655682248296,0.7085064818280764,0.25831789085158013,0.2171993252147012,0.10601122669902487,0.05178446908599267,0.040046614429961554,0.21497050102912318,0.09784909689176384,0.0016832195539335944,0.342085346402613,0.5918692123770082,1.381873571186038,0.29313915042278377,0.6616373768583599,0.9884870767633261,0.14454061177172955,0.18895139987609147,1.6142966790831828,0.15225047193252278,0.12141265453148253,0.4714984279624765,0.17880348800148718,0.0,0.23524828987680216,0.11701487321092621,0.30224090511446333,0.06475498319133692,0.2838750065966385,0.3335391075913212,0.09422226734452158,1.80506547078574,0.08770446742676169,0.024905670792383584,0.3620224799517909,0.42504173808304235,0.8191804779098044,0.0,0.2242075768363929,0.03664429974804357,0.3943086011860508,0.6513222984845279,0.1599349430867154,0.2307301234227759,0.20163944901878478,0.30388631934991045,0.1447824546103402,0.03657381923857946,0.0,0.07804626626540595,0.10989670232353474,0.1983358741066542,0.04500814334407457,0.07398222302304905,0.16181847260522275,0.25186214895932696,0.0007974163317915753,0.06080949814151412,0.20667226049686355,0.05172096416324205
