month,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1746602300187702,0.12612864103329283,0.0,0.0889358310921184,0.5146113414298009,0.22478224299388155,0.02151005341604866,0.5862100651883532,0.10063569374106777,0.5544979815356494,0.011645115476006065,0.06054301952244952,0.054031387661384114,0.22538269911499773,0.03441959075477251,,0.05370165344733692,,0.13088233703353058,0.0,0.026394951840462165,0.5991695456092122,0.06474328363090326,0.027125588275293763,0.1686730870223163,0.3274819585690223,0.03831205826512958,0.12254243997872194,0.29720903416555033,0.004776235976484669,0.2773618229154064,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018724407575569362,0.07947464224400849,0.7291102460239468,0.4212950695890315,0.14104377550413302,0.011329782774031035,0.13406227356655676,0.5496247238769866,0.006317574564280828,0.265251544068283,0.006123026145784788,0.1271125404769193,0.07329671498089534,0.01075289937150107,0.20958294100292907,,0.25214938779228513,,0.526256819796268,0.019770880646416383,0.03047241664493663,0.2293288330481396,0.7010959090128386,0.10791369042334417,0.04577607735062914,0.13408851824029452,0.0,0.3848553470181663,0.20672979006740747,0.04143447320389492,0.2406943181655362,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366602272511454,0.1166516375858199,0.12778682550036569,1.9356062762887447,0.04690097407278352,0.003465206669362768,0.6752203253956351,2.1219583697353204,0.2811867200369945,0.2374276387424225,0.21254928395658002,0.02383635729040992,0.7067593271466484,0.9651210946608536,0.05649465429728131,,0.07549939413824258,,,0.12424342450423354,0.06569971577767587,0.27363202638486384,0.8488565403011998,0.423951150780003,0.372631802897698,0.41025646025990775,0.04533998797896596,0.3761178581263854,0.24676085605744447,0.6312164403447914,0.023695066985467094,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44879860829575186,0.022014992370993858,0.45783058257078374,0.04524584898892656,0.4187109306066799,1.015502697155869,0.23660022531062755,0.292316676572317,0.8470612982635507,1.38489911553804,0.901895623078774,0.711087687346153,0.41321138162872445,0.5004377175696137,0.15952755990160944,,0.5429938787351958,,,0.5668379013180985,0.10296170234997609,1.1003342812138206,0.2137341647520893,0.0949160894135151,0.20618373593897404,0.19478880568196907,0.1688072039235862,0.12667452954579306,0.6410460683592992,0.27090242334530873,0.6792566409989187,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318192851768695,0.023762632995578188,0.15592548577804544,0.05139811352444351,0.153002984180528,0.43247730477824037,1.4046104070454448,1.0887376064233085,0.09603688538834726,0.8513535350860926,0.14074576814552894,0.9922058388779313,2.1295221853903423,0.21811924049232548,0.6504901030085332,,0.10418024573486034,,,0.20444041689887552,1.6504587725210578,0.9733089796706843,0.8167813534456833,1.0830813128176744,0.004953968295654414,0.6497588182380405,1.1597811862685097,0.26107567691315503,0.6241110348768666,0.728991021760702,0.09029569867056901,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9878509072757052,0.0,1.3614440039135025,0.08880729490501925,0.0021402079894120105,0.6844766576785882,,1.7960581962823814,0.41415502135576704,0.18363507231275247,0.6241402377644625,0.2847988430635668,0.12236183522836316,0.7693156722562088,1.0325187756534884,,0.7302552032203369,,,0.24772036075139367,0.9150195702237792,0.3300912414228427,0.016757608579005552,0.3000701166544006,0.565078881635462,0.045306190546849916,0.24693044412758935,0.5797841842146894,2.602761827364431,0.9156134019840365,0.7636346271699569,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20152956817050663,,1.2971964704959953,0.4960537274289555,0.0,0.3825696752308733,,1.2105300713703864,3.6179509464277064,0.3004113982203856,0.13644372295903434,0.14576075471324582,0.5601570692211666,0.0,0.6097104564455914,,0.04504893357666197,,,,1.664136108787452,0.13588497320989756,0.12168805466792193,0.164911732998192,0.8903390574456863,0.005170257643676579,0.4219947849236097,0.4003535906967154,,1.0285922397629688,0.24933120282091878,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6918104727378794,,0.3819821091109737,0.29486220894479925,1.2396008793708535,1.2049819212655328,,0.6119842118327967,0.11904241902562862,0.41927120984876615,0.6106035280886787,0.0696645123137439,0.5897249679029628,0.09511084996902801,1.0241888308546472,,0.3973631422291308,,0.321812902041269,,0.49510109833380683,0.8612769123647867,0.0,2.0540206480360235,0.8443356434790604,0.10721948968407045,1.2896878035226242,0.06798836882545838,,0.7422854009902804,0.10452355822555354,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7676907267079918,,1.0664801752626005,0.6319119599984712,0.9411972705683375,0.0,,0.6714160558691911,0.3926410925554835,0.4941220274131462,0.13823573259942043,0.4612976124669362,0.8016363621264125,0.06588209251489138,0.9775842992752019,,0.3884076137606629,,0.8086393554164111,,0.3047083683017616,0.3365430781190907,0.028953720783893126,0.6667325625523479,0.16810222201058345,0.5578349134124367,0.1385099382765655,0.4356623972038542,,0.36411487696842937,0.9177633899517429,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10280847503318,,0.8306441096418132,0.29855028293508923,,2.005828057840423,,0.03616208302412696,1.5584353045631516,1.0121064056684645,0.9864335951544417,0.01664156720709809,,0.07159935660932985,0.22003547893124398,,0.14281017951795902,,,,0.18901732717353623,0.3483102015780741,0.011500575672085568,0.488556992459006,0.11896274942302969,0.06862931790943695,0.43164504713038016,0.19099902126477275,,0.7374569728176452,0.06729835633922106,,,
