month,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03770128448621975,0.04684174456536645,0.0544268310368713,0.0805255291395873,0.16112602193525033,0.00247743507830973,0.002176232420014366,0.17375377514876983,0.028412308500508604,0.0,,,0.0477255016687168,0.30616421313557873,0.15710208370012219,0.052525569435911926,,0.10284564550881502,0.8630426369187373,0.1236757435038878
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09156600703237107,0.22523991880752817,0.10353752887710703,0.053875347162377504,0.32245259532325865,0.3240413315686931,0.0,0.037029482479444834,0.022098402352964088,0.16833798996939894,0.23191724768797634,,0.44238264192617943,0.0937167677773046,,0.016987411947473136,0.04300920522451999,,0.04091444208527151,0.10785058960675832,0.36737201701528455
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9520623300462383,0.1308119101809208,0.0495085856811452,0.002949970711404872,0.00014375195322965858,0.2800851693939432,0.11583212759821296,0.10144355201813642,0.00492787708379667,0.1673608761168904,0.11248743229488142,,0.1636642131433609,0.035811773436737186,0.1682427575423448,,0.24457867881401155,0.1530008540177053,0.33897321445157247,0.21893286957240585,0.361442293962029
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8363398918277254,0.24313807415764174,0.06422633006734786,0.5775490772906107,0.5149843479759898,0.7459157123414679,0.3185411406389856,0.4525234825402842,1.0493421163020087,0.14980832188583335,0.16066696724773072,,,0.8259548106032126,0.7983159193428577,0.508372932453592,0.6788442365597475,0.486873223967663,0.6091077041150824,,1.0375761833905273
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6614671972550296,0.8062506272043082,0.07170426498215234,0.051721363058295805,0.08518501501167185,0.010493906932413947,0.07980798491669319,1.8285233316780016,1.1619654239365464,0.5198172692460635,0.14830633185216005,,,1.7466647670824629,0.2508428002147913,0.5241490387370343,0.796522062027944,0.21442846137291188,1.4871331080027035,,1.3678040725743381
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9671474646308559,0.7805168893756788,0.8817746349791786,0.5522312345262551,1.1317985183021753,0.008034621403948212,0.22787164845421906,0.5068543663071288,0.027813806908624682,0.0,0.13618343821583753,,0.3328394477344662,0.6642311236509431,0.07471278262093003,3.221051786893484,0.3640732266522239,0.3807983175597655,0.07668826145224884,,2.9455346592442164
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3162038190607838,0.7103982256460399,0.19312849642617383,0.23649317007815626,0.8175845540027026,0.7948691712867861,1.2983292463504312,1.0728678031438315,0.17759803684584077,0.4196269162952276,0.008343999239950725,,,1.0257689438369006,0.2462203668619006,1.3343242005768492,1.158719120178234,0.2190544685861905,2.9243232517423987,0.005482602261838146,0.7253065050762443
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04421949064982924,1.042748484606253,0.37487713551664953,1.6131781889937333,0.14863904865034527,0.0602181545228795,0.5435931675000111,0.6812382872434968,0.4495604053404784,0.4352834057947784,3.9079794178852736,,,2.97873210146434,0.04178483828693121,3.4576410435413925,1.5037813196522507,0.0587567803573147,1.595793174838189,0.2056972694092737,0.2624376018382216
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1751537782110105,0.054974705211477105,0.040660869459922526,0.352792114406363,1.717838873704853,0.20594537994414502,0.06895755463289016,0.05931508347446089,0.4750054288462504,0.06075100397623649,0.4612510564844437,,,,1.741849068983716,1.9606281893519069,0.5887139308481846,0.5002278052967417,0.9310333061324485,2.881029285880252,0.0721011710957337
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16677028920727613,0.16956613691806716,0.2738192819970345,0.0333821392161983,0.0899193455812478,0.12697416880317583,0.2654106193987053,0.05658700753152494,1.3908894419483941e-05,0.0032037912804640588,0.022672484860027684,,0.05685784036641937,,0.11923989571533387,0.16391827905528264,0.3985618698492304,0.24380802979971183,0.47645345396513183,0.36572600190710663,0.056458879848087055
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2422987683215875,0.023574184857085193,0.04247871987408684,0.011394642458130466,0.23934559113755588,0.016521397814031943,0.31109463870800586,0.0,0.002032197803243182,0.1509230956527191,0.0123215215593265,,0.0,0.464728830864436,,,,0.09760566460784291,,0.17458773099025202,0.4657120724680774
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027966806317703694,0.0,0.07822113358962214,0.16954164380138462,0.11494145900537564,0.034550284974725815,0.024793001827432586,0.05214745461778589,0.0,0.08000080665638735,,,0.024410270862897175,0.08376930074231527,0.10831936445932533,,,0.21302096157103143,,0.279146834477676,0.018672912060547758
